"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../feature_files/login.feature: validate login with invalid credentials","473","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:36:00 UTC 2025","passed","Mon Sep 29 15:36:00 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","2172","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:36:01 UTC 2025","passed","Mon Sep 29 15:36:03 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with valid credentials","592","validate login with valid credentials","features.tests.step_def_files","Mon Sep 29 15:35:59 UTC 2025","passed","Mon Sep 29 15:35:59 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","472","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:36:00 UTC 2025","passed","Mon Sep 29 15:36:01 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","525","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:35:59 UTC 2025","passed","Mon Sep 29 15:36:00 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","473","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:36:01 UTC 2025","passed","Mon Sep 29 15:36:01 UTC 2025","","Login","",""
