"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../feature_files/login.feature: validate login with invalid credentials","1","test_login_invalid_credentials","features.tests.step_def_files","Mon Sep 29 14:49:04 UTC 2025","broken","Mon Sep 29 14:49:04 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with valid credentials","332","test_login_valid_credentials","features.tests.step_def_files","Mon Sep 29 14:49:04 UTC 2025","broken","Mon Sep 29 14:49:04 UTC 2025","","Login","",""
