"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../feature_files/login.feature: validate login with valid credentials","352","validate login with valid credentials","features.tests.step_def_files","Mon Sep 29 13:38:03 UTC 2025","passed","Mon Sep 29 13:38:04 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","32","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 13:38:04 UTC 2025","passed","Mon Sep 29 13:38:04 UTC 2025","","Login","",""
