"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../feature_files/login.feature: validate login with invalid credentials","739","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:52:34 UTC 2025","passed","Mon Sep 29 15:52:35 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","772","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:52:33 UTC 2025","passed","Mon Sep 29 15:52:33 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with valid credentials","939","validate login with valid credentials","features.tests.step_def_files","Mon Sep 29 15:52:30 UTC 2025","passed","Mon Sep 29 15:52:31 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","789","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:52:32 UTC 2025","passed","Mon Sep 29 15:52:33 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","823","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:52:33 UTC 2025","passed","Mon Sep 29 15:52:34 UTC 2025","","Login","",""
"../feature_files/login.feature: validate login with invalid credentials","842","validate login with invalid credentials","features.tests.step_def_files","Mon Sep 29 15:52:31 UTC 2025","passed","Mon Sep 29 15:52:32 UTC 2025","","Login","",""
